q,dimension_estimate,intercept,r_squared,points_used,confidence_level,bootstrap_samples,bootstrap_dimension_low,bootstrap_dimension_high,sensitivity_min_points,sensitivity_window_count,sensitivity_dimension_min,sensitivity_dimension_max
0.0,1.244538244619368,1.517082007510553,0.9997685492488342,20,0.95,1000,1.233869276398423,1.2569544415312996,6,120,1.1993854034291993,1.3001048544230536
0.5,1.2408829132106503,1.3802291252821715,0.9999010749144068,20,0.95,1000,1.2343664281739324,1.2485698518537818,6,120,1.1947684222112385,1.276883212051755
1.0,1.2294506019661537,1.297130872725411,0.9998901549390983,20,0.95,1000,1.2224883066492311,1.2378586178523787,6,120,1.1824849853961277,1.257211701154017
1.5,1.2134604453569688,1.2382729001026045,0.9998243033899383,20,0.95,1000,1.2046034109051753,1.2231235153218882,6,120,1.1658498538538224,1.2465431883727505
2.0,1.1907475873010926,1.2042438247524327,0.9997209662777535,20,0.95,1000,1.1794984094535812,1.202439519448249,6,120,1.14223207443949,1.2429914087353793
3.0,1.1232680585238708,1.2083313579090376,0.9990472625313277,20,0.95,1000,1.1017952185099071,1.1443081763763345,6,120,1.0613126817695464,1.2453445541233346
4.0,1.0482448221591534,1.2572784641827885,0.9970304855476767,20,0.95,1000,1.0126134612472808,1.0790306317021974,6,120,0.9357811258849728,1.248250389057085
