centre_number,orbit_index,x,y,local_dimension,intercept,r_squared,fit_points,min_fit_count,max_fit_count
0,75,1.1912377277587691,0.049978866073835226,1.5247480822024986,1.1271610859576935,0.9805395012043057,14,32.0,6180.0
1,252,-0.5802757185549671,0.3296825484631312,1.4617187975854422,0.24088439778937376,0.9945587085102976,14,26.0,3967.0
2,1047,-1.1605126701526733,0.37122326592058574,1.3719361971985038,0.22625514223210666,0.9792458713751017,14,28.0,3943.0
3,1461,-1.2772772283764262,0.38195818088901506,0.7377525413870305,-1.6702943165078743,0.9469870176224661,14,165.0,2687.0
4,1557,0.9964175337007586,0.11551473464810708,1.2967849552739896,0.5316881659827136,0.9819752652855881,14,56.0,7137.0
5,1630,0.34657585101326865,0.21089506239392514,1.544334578957105,1.3684828371465674,0.9884858040046135,14,53.0,7622.0
6,1650,-0.79524915260723,-0.37474493614025495,1.1026903269921113,-1.6612190486818659,0.9988245557245174,14,30.0,1497.0
7,1683,0.7045736704431435,-0.20225418655505278,1.230891840022241,-1.1234640807268088,0.9755790604529079,14,15.0,1516.0
8,1804,-0.27346575443164073,-0.32613158608836923,1.1142709128391286,-1.623354624061341,0.9891426204432041,14,22.0,1696.0
9,2017,0.09796496932917463,-0.2868766153825813,1.1577108220516295,-1.3951987955223608,0.9934316087773694,14,23.0,1585.0
10,2850,1.061496086312332,0.0883610121800863,1.7371097181956623,2.130992978375567,0.9259037848034398,14,21.0,6827.0
11,2864,0.29956554247634626,0.21096985590692258,1.1445539863723238,0.10610847106320255,0.9960926146611451,14,118.0,6842.0
12,2867,0.899006990494264,-0.1669316671309683,1.1508595256206733,-0.5239369951909176,0.9793772527743498,14,49.0,3232.0
13,2983,1.233983487464532,-0.06381608872848538,1.3581193656446788,0.47783606459775074,0.9939755529657363,14,45.0,6605.0
14,3290,0.7036159390223965,0.0011604625794296082,1.0727349424442592,-0.5260678328609222,0.9918120636620814,14,89.0,5446.0
15,3399,0.9161813439734532,0.13665046632316744,1.3274685066581846,0.3093206912883433,0.98996893172744,14,44.0,5083.0
16,3428,-0.24651752095366924,-0.3195750238406091,1.2155480231610318,-1.235237393893552,0.9885146294710718,14,16.0,1766.0
17,3823,0.5520210829775072,0.11616313567169526,1.468085986903541,0.15687199288345113,0.987243817633013,14,21.0,5723.0
18,4218,-0.21768720111579046,-0.31864238894037544,1.1046155069498276,-1.4698325414976716,0.9952605380878549,14,34.0,1784.0
19,4365,0.9475315235950417,-0.15466715585659133,1.067468487230221,-0.6427196589509735,0.9938637848566264,14,88.0,3765.0
20,4415,-0.30013292409072945,-0.24524902907759014,1.022714888264187,-2.538545864415411,0.9676365544060521,14,18.0,1340.0
