centre_number,orbit_index,radius,count_excluding_self,mass,log_radius,log_mass
0,397,0.001,2,2e-05,-6.907755278982137,-10.819778284410283
0,397,0.001310226931162212,2,2e-05,-6.637554926876824,-10.819778284410283
0,397,0.0017166946111427477,2,2e-05,-6.367354574771512,-10.819778284410283
0,397,0.0022492595121002693,6,6e-05,-6.097154222666199,-9.721165995742174
0,397,0.00294704038792655,14,0.00014,-5.826953870560886,-8.87386813535497
0,397,0.003861291683484094,20,0.0002,-5.556753518455574,-8.517193191416238
0,397,0.005059168352773535,33,0.00033,-5.286553166350261,-8.016417903503749
0,397,0.006628658625087453,58,0.00058,-5.016352814244948,-7.4524824544238095
0,397,0.008685047048070261,103,0.00103,-4.746152462139635,-6.878196476740593
0,397,0.011379382540792526,172,0.00172,-4.4759521100343225,-6.365430988156775
0,397,0.014909573464943445,268,0.00268,-4.20575175792901,-5.921938484459372
0,397,0.019534924685910386,377,0.00377,-3.9355514058236976,-5.580680277522218
0,397,0.025595184421705306,524,0.00524,-3.6653510537183847,-5.251433780649187
0,397,0.033535499937381794,726,0.00726,-3.395150701613072,-4.925375450145433
0,397,0.04393911516794628,998,0.00998,-3.1249503495077597,-4.607172188658764
0,397,0.05757021202448125,1339,0.01339,-2.854749997402447,-4.313247119279056
0,397,0.07543004222719395,1804,0.01804,-2.584549645297134,-4.015163764347659
0,397,0.09883047274477239,2493,0.02493,-2.3143492931918215,-3.6916833814466705
0,397,0.12949034700969375,3421,0.03421,-2.0441489410865086,-3.375237279992624
0,397,0.16966173997764095,5082,0.05082,-1.7739485889811957,-2.979465301090119
0,397,0.2222953809065457,8809,0.08809,-1.5037482368758828,-2.429396259860433
0,397,0.291257394736718,14178,0.14178,-1.233547884770571,-1.9534787185552656
0,397,0.3816132824841911,32833,0.32833,-0.9633475326652582,-1.1137360788139565
0,397,0.5,48394,0.48394,-0.6931471805599453,-0.7257943468921906
1,555,0.001,1,1e-05,-6.907755278982137,-11.512925464970229
1,555,0.001310226931162212,2,2e-05,-6.637554926876824,-10.819778284410283
1,555,0.0017166946111427477,5,5e-05,-6.367354574771512,-9.903487552536127
1,555,0.0022492595121002693,7,7e-05,-6.097154222666199,-9.567015315914915
1,555,0.00294704038792655,15,0.00015,-5.826953870560886,-8.804875263868018
1,555,0.003861291683484094,27,0.00027,-5.556753518455574,-8.2170885989659
1,555,0.005059168352773535,47,0.00047,-5.286553166350261,-7.66277786326017
1,555,0.006628658625087453,88,0.00088,-5.016352814244948,-7.035588650492022
1,555,0.008685047048070261,149,0.00149,-4.746152462139635,-6.508979159024769
1,555,0.011379382540792526,232,0.00232,-4.4759521100343225,-6.066188093303919
1,555,0.014909573464943445,359,0.00359,-4.20575175792901,-5.62960307648195
1,555,0.019534924685910386,585,0.00585,-3.9355514058236976,-5.141313617738372
1,555,0.025595184421705306,914,0.00914,-3.6653510537183847,-4.695094893516078
1,555,0.033535499937381794,1287,0.01287,-3.395150701613072,-4.352856257374102
1,555,0.04393911516794628,1712,0.01712,-3.1249503495077597,-4.067507908268541
1,555,0.05757021202448125,2396,0.02396,-2.854749997402447,-3.7313695057348886
1,555,0.07543004222719395,3062,0.03062,-2.584549645297134,-3.486101888752599
1,555,0.09883047274477239,3836,0.03836,-2.3143492931918215,-3.2607400289668997
1,555,0.12949034700969375,4859,0.04859,-2.0441489410865086,-3.0243375305643254
1,555,0.16966173997764095,6732,0.06732,-1.7739485889811957,-2.698297909659532
1,555,0.2222953809065457,10195,0.10195,-1.5037482368758828,-2.283272781961673
1,555,0.291257394736718,13794,0.13794,-1.233547884770571,-1.9809364709789918
1,555,0.3816132824841911,18345,0.18345,-0.9633475326652582,-1.695813128180846
1,555,0.5,27864,0.27864,-0.6931471805599453,-1.2778346529243914
2,670,0.001,5,5e-05,-6.907755278982137,-9.903487552536127
2,670,0.001310226931162212,8,8e-05,-6.637554926876824,-9.433483923290392
2,670,0.0017166946111427477,11,0.00011,-6.367354574771512,-9.115030192171858
