centre_number,orbit_index,radius,count_excluding_self,mass,log_radius,log_mass
0,182,0.001,8,8e-05,-6.907755278982137,-9.433483923290392
0,182,0.001310226931162212,11,0.00011,-6.637554926876824,-9.115030192171858
0,182,0.0017166946111427477,20,0.0002,-6.367354574771512,-8.517193191416238
0,182,0.0022492595121002693,35,0.00035,-6.097154222666199,-7.957577403480815
0,182,0.00294704038792655,51,0.00051,-5.826953870560886,-7.5810998322459024
0,182,0.003861291683484094,71,0.00071,-5.556753518455574,-7.250245587928913
0,182,0.005059168352773535,81,0.00081,-5.286553166350261,-7.1184763102977895
0,182,0.006628658625087453,107,0.00107,-5.016352814244948,-6.840096630508322
0,182,0.008685047048070261,154,0.00154,-4.746152462139635,-6.475972862556599
0,182,0.011379382540792526,207,0.00207,-4.4759521100343225,-6.18020667170486
0,182,0.014909573464943445,257,0.00257,-4.20575175792901,-5.9638493800750085
0,182,0.019534924685910386,346,0.00346,-3.9355514058236976,-5.666486689912504
0,182,0.025595184421705306,715,0.00715,-3.6653510537183847,-4.940642922276221
0,182,0.033535499937381794,977,0.00977,-3.395150701613072,-4.628438812927445
0,182,0.04393911516794628,1286,0.01286,-3.1249503495077597,-4.353633560172664
0,182,0.05757021202448125,1971,0.01971,-2.854749997402447,-3.926629157817508
0,182,0.07543004222719395,2586,0.02586,-2.584549645297134,-3.655057905638426
0,182,0.09883047274477239,3333,0.03333,-2.3143492931918215,-3.4012973866624887
0,182,0.12949034700969375,4391,0.04391,-2.0441489410865086,-3.125613194408511
0,182,0.16966173997764095,5748,0.05748,-1.7739485889811957,-2.856318217771313
0,182,0.2222953809065457,8509,0.08509,-1.5037482368758828,-2.4640457591206713
0,182,0.291257394736718,12614,0.12614,-1.233547884770571,-2.070362877746632
0,182,0.3816132824841911,17486,0.17486,-0.9633475326652582,-1.7437696252293922
0,182,0.5,26919,0.26919,-0.6931471805599453,-1.312337829004061
1,348,0.001,35,0.00035,-6.907755278982137,-7.957577403480815
1,348,0.001310226931162212,48,0.00048,-6.637554926876824,-7.641724454062337
1,348,0.0017166946111427477,65,0.00065,-6.367354574771512,-7.338538195074591
1,348,0.0022492595121002693,91,0.00091,-6.097154222666199,-7.002065958453378
1,348,0.00294704038792655,115,0.00115,-5.826953870560886,-6.767993336606978
1,348,0.003861291683484094,143,0.00143,-5.556753518455574,-6.550080834710321
1,348,0.005059168352773535,207,0.00207,-5.286553166350261,-6.18020667170486
1,348,0.006628658625087453,283,0.00283,-5.016352814244948,-5.867478567326991
1,348,0.008685047048070261,362,0.00362,-4.746152462139635,-5.621281253144457
1,348,0.011379382540792526,478,0.00478,-4.4759521100343225,-5.343314732478772
1,348,0.014909573464943445,623,0.00623,-4.20575175792901,-5.0783789461827755
1,348,0.019534924685910386,805,0.00805,-3.9355514058236976,-4.822083187551665
1,348,0.025595184421705306,1025,0.01025,-3.6653510537183847,-4.58047757339772
1,348,0.033535499937381794,1320,0.0132,-3.395150701613072,-4.327538449389812
1,348,0.04393911516794628,1641,0.01641,-3.1249503495077597,-4.1098643738801375
