centre_number,orbit_index,radius,count_excluding_self,mass,log_radius,log_mass
0,74,0.001,22,0.00022,-6.907755278982137,-8.421883011611913
0,74,0.001310226931162212,27,0.00027,-6.637554926876824,-8.2170885989659
0,74,0.0017166946111427477,37,0.00037,-6.367354574771512,-7.902007552326004
0,74,0.0022492595121002693,52,0.00052,-6.097154222666199,-7.5616817463888015
0,74,0.00294704038792655,80,0.0008,-5.826953870560886,-7.1308988302963465
0,74,0.003861291683484094,98,0.00098,-5.556753518455574,-6.927957986299656
0,74,0.005059168352773535,114,0.00114,-5.286553166350261,-6.776727016575733
0,74,0.006628658625087453,144,0.00144,-5.016352814244948,-6.543112165394228
0,74,0.008685047048070261,240,0.0024,-4.746152462139635,-6.032286541628237
0,74,0.011379382540792526,443,0.00443,-4.4759521100343225,-5.419355694925093
0,74,0.014909573464943445,672,0.00672,-4.20575175792901,-5.002667124447079
0,74,0.019534924685910386,914,0.00914,-3.9355514058236976,-4.695094893516078
0,74,0.025595184421705306,1203,0.01203,-3.6653510537183847,-4.420351748995549
0,74,0.033535499937381794,1755,0.01755,-3.395150701613072,-4.042701329070263
0,74,0.04393911516794628,2661,0.02661,-3.1249503495077597,-3.6264681939925394
0,74,0.05757021202448125,3635,0.03635,-2.854749997402447,-3.314561075002609
0,74,0.07543004222719395,5352,0.05352,-2.584549645297134,-2.927699863162164
0,74,0.09883047274477239,7245,0.07245,-2.3143492931918215,-2.624858610215446
0,74,0.12949034700969375,10481,0.10481,-2.0441489410865086,-2.255606091800051
0,74,0.16966173997764095,12776,0.12776,-1.7739485889811957,-2.05760177507538
0,74,0.2222953809065457,15847,0.15847,-1.5037482368758828,-1.8421899780274202
0,74,0.291257394736718,20420,0.2042,-1.233547884770571,-1.5886553732515718
0,74,0.3816132824841911,31203,0.31203,-0.9633475326652582,-1.1646559419489857
0,74,0.5,41167,0.41167,-0.6931471805599453,-0.8875332214549592
1,113,0.001,46,0.00046,-6.907755278982137,-7.6842840684811335
1,113,0.001310226931162212,61,0.00061,-6.637554926876824,-7.402051600796917
1,113,0.0017166946111427477,83,0.00083,-6.367354574771512,-7.09408485717363
1,113,0.0022492595121002693,152,0.00152,-6.097154222666199,-6.489044944123952
1,113,0.00294704038792655,228,0.00228,-5.826953870560886,-6.083579836015788
1,113,0.003861291683484094,313,0.00313,-5.556753518455574,-5.766722274430075
1,113,0.005059168352773535,445,0.00445,-5.286553166350261,-5.4148511828039885
1,113,0.006628658625087453,598,0.00598,-5.016352814244948,-5.119334711019596
1,113,0.008685047048070261,861,0.00861,-4.746152462139635,-4.754830960542498
1,113,0.011379382540792526,1369,0.01369,-4.4759521100343225,-4.291089639681779
1,113,0.014909573464943445,1822,0.01822,-4.20575175792901,-4.005235387150325
1,113,0.019534924685910386,2127,0.02127,-3.9355514058236976,-3.850457649769991
1,113,0.025595184421705306,2533,0.02533,-3.6653510537183847,-3.6757658149685533
1,113,0.033535499937381794,2999,0.02999,-3.395150701613072,-3.506891286221219
1,113,0.04393911516794628,3633,0.03633,-3.1249503495077597,-3.3151114327490263
1,113,0.05757021202448125,4357,0.04357,-2.854749997402447,-3.1333864388527863
