centre_number,orbit_index,radius,count_excluding_self,mass,log_radius,log_mass
0,182,0.001,3,3e-05,-6.907755278982137,-10.41431317630212
0,182,0.001310226931162212,4,4e-05,-6.637554926876824,-10.126631103850338
0,182,0.0017166946111427477,9,9e-05,-6.367354574771512,-9.315700887634009
0,182,0.0022492595121002693,11,0.00011,-6.097154222666199,-9.115030192171858
0,182,0.00294704038792655,15,0.00015,-5.826953870560886,-8.804875263868018
0,182,0.003861291683484094,27,0.00027,-5.556753518455574,-8.2170885989659
0,182,0.005059168352773535,37,0.00037,-5.286553166350261,-7.902007552326004
0,182,0.006628658625087453,46,0.00046,-5.016352814244948,-7.6842840684811335
0,182,0.008685047048070261,65,0.00065,-4.746152462139635,-7.338538195074591
0,182,0.011379382540792526,83,0.00083,-4.4759521100343225,-7.09408485717363
0,182,0.014909573464943445,122,0.00122,-4.20575175792901,-6.708904420236972
0,182,0.019534924685910386,151,0.00151,-3.9355514058236976,-6.495645628155304
0,182,0.025595184421705306,204,0.00204,-3.6653510537183847,-6.194805471126012
0,182,0.033535499937381794,281,0.00281,-3.395150701613072,-5.874570795636482
0,182,0.04393911516794628,571,0.00571,-3.1249503495077597,-5.165536255314218
0,182,0.05757021202448125,1195,0.01195,-2.854749997402447,-4.427024000604617
0,182,0.07543004222719395,1738,0.01738,-2.584549645297134,-4.052435159144891
0,182,0.09883047274477239,2406,0.02406,-2.3143492931918215,-3.7272045684356043
0,182,0.12949034700969375,3260,0.0326,-2.0441489410865086,-3.423442990609475
0,182,0.16966173997764095,4910,0.0491,-1.7739485889811957,-3.0138962441816624
0,182,0.2222953809065457,6957,0.06957,-1.5037482368758828,-2.665421839046587
0,182,0.291257394736718,9637,0.09637,-1.233547884770571,-2.339560329118941
0,182,0.3816132824841911,15268,0.15268,-0.9633475326652582,-1.879411051105108
0,182,0.5,24359,0.24359,-0.6931471805599453,-1.4122687948921264
1,348,0.001,3,3e-05,-6.907755278982137,-10.41431317630212
1,348,0.001310226931162212,6,6e-05,-6.637554926876824,-9.721165995742174
1,348,0.0017166946111427477,9,9e-05,-6.367354574771512,-9.315700887634009
1,348,0.0022492595121002693,18,0.00018,-6.097154222666199,-8.622553707074063
1,348,0.00294704038792655,31,0.00031,-5.826953870560886,-8.078938260485081
1,348,0.003861291683484094,39,0.00039,-5.556753518455574,-7.849363818840582
1,348,0.005059168352773535,51,0.00051,-5.286553166350261,-7.5810998322459024
1,348,0.006628658625087453,70,0.0007,-5.016352814244948,-7.264430222920869
1,348,0.008685047048070261,92,0.00092,-4.746152462139635,-6.991136887921188
1,348,0.011379382540792526,121,0.00121,-4.4759521100343225,-6.717134919373487
1,348,0.014909573464943445,153,0.00153,-4.20575175792901,-6.482487543577793
1,348,0.019534924685910386,212,0.00212,-3.9355514058236976,-6.156339190298216
1,348,0.025595184421705306,292,0.00292,-3.6653510537183847,-5.836171662701947
1,348,0.033535499937381794,657,0.00657,-3.395150701613072,-5.025241446485618
1,348,0.04393911516794628,1167,0.01167,-3.1249503495077597,-4.450733832683673
1,348,0.05757021202448125,2164,0.02164,-2.854749997402447,-3.8332118250038563
1,348,0.07543004222719395,4251,0.04251,-2.584549645297134,-3.1580159366114384
1,348,0.09883047274477239,6627,0.06627,-2.3143492931918215,-2.7140179728820018
1,348,0.12949034700969375,9790,0.0979,-2.0441489410865086,-2.3238087294456724
1,348,0.16966173997764095,12100,0.121,-1.7739485889811957,-2.111964733385396
1,348,0.2222953809065457,15255,0.15255,-1.5037482368758828,-1.8802628678194584
1,348,0.291257394736718,21263,0.21263,-1.233547884770571,-1.5482017129635268
1,348,0.3816132824841911,31136,0.31136,-0.9633475326652582,-1.1668054799844967
1,348,0.5,41616,0.41616,-0.6931471805599453,-0.8766854772817957
2,514,0.001,5,5e-05,-6.907755278982137,-9.903487552536127
2,514,0.001310226931162212,8,8e-05,-6.637554926876824,-9.433483923290392
2,514,0.0017166946111427477,14,0.00014,-6.367354574771512,-8.87386813535497
2,514,0.0022492595121002693,26,0.00026,-6.097154222666199,-8.254828926948747
2,514,0.00294704038792655,47,0.00047,-5.826953870560886,-7.66277786326017
2,514,0.003861291683484094,76,0.00076,-5.556753518455574,-7.182192124683898
2,514,0.005059168352773535,118,0.00118,-5.286553166350261,-6.7422408405045635
2,514,0.006628658625087453,176,0.00176,-5.016352814244948,-6.342441469932076
2,514,0.008685047048070261,238,0.00238,-4.746152462139635,-6.040654791298754
2,514,0.011379382540792526,333,0.00333,-4.4759521100343225,-5.704782974989785
2,514,0.014909573464943445,426,0.00426,-4.20575175792901,-5.458486118700858
2,514,0.019534924685910386,565,0.00565,-3.9355514058236976,-5.176099733823787
2,514,0.025595184421705306,756,0.00756,-3.6653510537183847,-4.884884088790695
2,514,0.033535499937381794,980,0.0098,-3.395150701613072,-4.62537289330561
2,514,0.04393911516794628,1405,0.01405,-3.1249503495077597,-4.265132883202383
2,514,0.05757021202448125,2589,0.02589,-2.854749997402447,-3.653898485218691
2,514,0.07543004222719395,3862,0.03862,-2.584549645297134,-3.2539850019817687
2,514,0.09883047274477239,5273,0.05273,-2.3143492931918215,-2.942570725439759
2,514,0.12949034700969375,9625,0.09625,-2.0441489410865086,-2.3408063058142434
2,514,0.16966173997764095,14015,0.14015,-1.7739485889811957,-1.9650420013713399
2,514,0.2222953809065457,18184,0.18184,-1.5037482368758828,-1.7046280994378493
2,514,0.291257394736718,25744,0.25744,-1.233547884770571,-1.356968595738064
2,514,0.3816132824841911,38080,0.3808,-0.9633475326652582,-0.9654809760649268
2,514,0.5,51354,0.51354,-0.6931471805599453,-0.6664273558605638
3,731,0.001,6,6e-05,-6.907755278982137,-9.721165995742174
3,731,0.001310226931162212,7,7e-05,-6.637554926876824,-9.567015315914915
3,731,0.0017166946111427477,14,0.00014,-6.367354574771512,-8.87386813535497
3,731,0.0022492595121002693,26,0.00026,-6.097154222666199,-8.254828926948747
3,731,0.00294704038792655,35,0.00035,-5.826953870560886,-7.957577403480815
3,731,0.003861291683484094,51,0.00051,-5.556753518455574,-7.5810998322459024
3,731,0.005059168352773535,86,0.00086,-5.286553166350261,-7.05857816871672
3,731,0.006628658625087453,130,0.0013,-5.016352814244948,-6.645391014514646
3,731,0.008685047048070261,179,0.00179,-4.746152462139635,-6.325539659129474
3,731,0.011379382540792526,231,0.00231,-4.4759521100343225,-6.0705077544484345
3,731,0.014909573464943445,330,0.0033,-4.20575175792901,-5.713832810509703
3,731,0.019534924685910386,473,0.00473,-3.9355514058236976,-5.353830076478295
3,731,0.025595184421705306,657,0.00657,-3.6653510537183847,-5.025241446485618
3,731,0.033535499937381794,910,0.0091,-3.395150701613072,-4.699480865459333
3,731,0.04393911516794628,1207,0.01207,-3.1249503495077597,-4.417032243872697
3,731,0.05757021202448125,1846,0.01846,-2.854749997402447,-3.992149049907431
3,731,0.07543004222719395,2800,0.028,-2.584549645297134,-3.575550768806933
3,731,0.09883047274477239,5098,0.05098,-2.3143492931918215,-2.9763218800341678
3,731,0.12949034700969375,7433,0.07433,-2.0441489410865086,-2.599240640244935
3,731,0.16966173997764095,9696,0.09696,-1.7739485889811957,-2.333456756661133
3,731,0.2222953809065457,12229,0.12229,-1.5037482368758828,-2.1013600057808586
3,731,0.291257394736718,15470,0.1547,-1.233547884770571,-1.8662675214031166
3,731,0.3816132824841911,19916,0.19916,-0.9633475326652582,-1.613646757208155
3,731,0.5,31026,0.31026,-0.6931471805599453,-1.170344623345952
4,1335,0.001,9,9e-05,-6.907755278982137,-9.315700887634009
4,1335,0.001310226931162212,12,0.00012,-6.637554926876824,-9.028018815182229
4,1335,0.0017166946111427477,16,0.00016,-6.367354574771512,-8.740336742730447
4,1335,0.0022492595121002693,21,0.00021,-6.097154222666199,-8.468403027246806
4,1335,0.00294704038792655,31,0.00031,-5.826953870560886,-8.078938260485081
4,1335,0.003861291683484094,43,0.00043,-5.556753518455574,-7.751725349276666
4,1335,0.005059168352773535,76,0.00076,-5.286553166350261,-7.182192124683898
4,1335,0.006628658625087453,126,0.00126,-5.016352814244948,-6.676643558018751
4,1335,0.008685047048070261,208,0.00208,-4.746152462139635,-6.175387385268911
4,1335,0.011379382540792526,357,0.00357,-4.4759521100343225,-5.635189683190589
4,1335,0.014909573464943445,546,0.00546,-4.20575175792901,-5.2103064892253235
4,1335,0.019534924685910386,768,0.00768,-3.9355514058236976,-4.869135731822556
4,1335,0.025595184421705306,1056,0.01056,-3.6653510537183847,-4.550682000704022
4,1335,0.033535499937381794,1455,0.01455,-3.395150701613072,-4.230164285364635
4,1335,0.04393911516794628,2012,0.02012,-3.1249503495077597,-3.9060409337505986
4,1335,0.05757021202448125,2740,0.0274,-2.854749997402447,-3.5972122655881127
4,1335,0.07543004222719395,3569,0.03569,-2.584549645297134,-3.332884741480068
4,1335,0.09883047274477239,4388,0.04388,-2.3143492931918215,-3.1262966435751074
4,1335,0.12949034700969375,5485,0.05485,-2.0441489410865086,-2.9031530922608977
4,1335,0.16966173997764095,6981,0.06981,-1.7739485889811957,-2.661978012999827
4,1335,0.2222953809065457,9159,0.09159,-1.5037482368758828,-2.3904331835672408
4,1335,0.291257394736718,10296,0.10296,-1.233547884770571,-2.273414715694266
4,1335,0.3816132824841911,11583,0.11583,-0.9633475326652582,-2.1556316800378825
4,1335,0.5,13282,0.13282,-0.6931471805599453,-2.0187604508695696
5,1347,0.001,6,6e-05,-6.907755278982137,-9.721165995742174
5,1347,0.001310226931162212,11,0.00011,-6.637554926876824,-9.115030192171858
5,1347,0.0017166946111427477,20,0.0002,-6.367354574771512,-8.517193191416238
5,1347,0.0022492595121002693,39,0.00039,-6.097154222666199,-7.849363818840582
5,1347,0.00294704038792655,78,0.00078,-5.826953870560886,-7.156216638280637
5,1347,0.003861291683484094,135,0.00135,-5.556753518455574,-6.607650686531799
5,1347,0.005059168352773535,240,0.0024,-5.286553166350261,-6.032286541628237
5,1347,0.006628658625087453,401,0.00401,-5.016352814244948,-5.518964037663659
5,1347,0.008685047048070261,599,0.00599,-4.746152462139635,-5.117663866854779
5,1347,0.011379382540792526,822,0.00822,-4.4759521100343225,-4.801185069914048
5,1347,0.014909573464943445,1183,0.01183,-4.20575175792901,-4.437116600991842
5,1347,0.019534924685910386,1624,0.01624,-3.9355514058236976,-4.120277944248605
5,1347,0.025595184421705306,2312,0.02312,-3.6653510537183847,-3.76705723517796
5,1347,0.033535499937381794,3175,0.03175,-3.395150701613072,-3.4498625536434364
5,1347,0.04393911516794628,4082,0.04082,-3.1249503495077597,-3.1985831216004383
5,1347,0.05757021202448125,4834,0.04834,-2.854749997402447,-3.0294959037068
5,1347,0.07543004222719395,5738,0.05738,-2.584549645297134,-2.8580594684289182
5,1347,0.09883047274477239,6879,0.06879,-2.3143492931918215,-2.6766968934442144
5,1347,0.12949034700969375,8456,0.08456,-2.0441489410865086,-2.4702939374201547
