centre_number,orbit_index,radius,count_excluding_self,mass,log_radius,log_mass,estimator
0,1589,0.0004886577264288195,32,3.2e-05,-7.6238482595192725,-10.349774655164548,knn
0,1589,0.0006616636113581842,46,4.6e-05,-7.320753271116438,-9.986869161475179,knn
0,1589,0.0008669227304986416,66,6.6e-05,-7.050560707994346,-9.625855815937848,knn
0,1589,0.0012421163681776068,95,9.5e-05,-6.690938605675007,-9.261633666363734,knn
0,1589,0.0019362382527167324,137,0.000137,-6.2470082332797565,-8.89552963213615,knn
0,1589,0.002931565534168347,198,0.000198,-5.832218686644144,-8.52724352726974,knn
0,1589,0.003952425369726393,285,0.000285,-5.533425870848564,-8.163021377695623,knn
0,1589,0.00566752767648472,411,0.000411,-5.1730022922271175,-7.796917343468039,knn
0,1589,0.008354518293271532,593,0.000593,-4.784952773501552,-7.430316158966549,knn
0,1589,0.011784593268328992,854,0.000854,-4.440962255847319,-7.065579364175704,knn
0,1589,0.01627319474033072,1231,0.001231,-4.118236019292937,-6.699928431779821,knn
0,1589,0.01672854638083676,1773,0.001773,-4.09063865473757,-6.335082251890066,knn
0,1589,0.018136175071614018,2555,0.002555,-4.0098467125585024,-5.96970305532647,knn
0,1589,0.02122928038135312,3680,0.00368,-3.852373900150786,-5.604842526801297,knn
0,1589,0.02679198485861323,5302,0.005302,-3.6196525086362117,-5.239671171115303,knn
0,1589,0.03393304232996408,7637,0.007637,-3.3833660393083935,-4.8747504230758905,knn
0,1589,0.047545365081053184,11002,0.011002,-3.046070969377804,-4.50967820452887,knn
0,1589,0.07520535548712394,15849,0.015849,-2.5875328339780284,-4.144648872131849,knn
1,3597,0.000192302510986166,32,3.2e-05,-8.55644084780442,-10.349774655164548,knn
1,3597,0.00023415241912452415,46,4.6e-05,-8.359538290871868,-9.986869161475179,knn
1,3597,0.00028762050603477136,66,6.6e-05,-8.153868634120997,-9.625855815937848,knn
1,3597,0.0003976683392289306,95,9.5e-05,-7.829892218603001,-9.261633666363734,knn
1,3597,0.0005179316813641342,137,0.000137,-7.5656672136613725,-8.89552963213615,knn
1,3597,0.0007217273529051994,198,0.000198,-7.2338631179458135,-8.52724352726974,knn
1,3597,0.0009163044732882405,285,0.000285,-6.995161854101454,-8.163021377695623,knn
1,3597,0.001245377583768098,411,0.000411,-6.688316514910571,-7.796917343468039,knn
1,3597,0.001735622978639318,593,0.000593,-6.356388864533738,-7.430316158966549,knn
1,3597,0.0024600016588583033,854,0.000854,-6.00759325470545,-7.065579364175704,knn
1,3597,0.0035657980196621255,1231,0.001231,-5.636367401733626,-6.699928431779821,knn
1,3597,0.005058954840175612,1773,0.001773,-5.286595370342817,-6.335082251890066,knn
1,3597,0.007298145920806237,2555,0.002555,-4.920134946538251,-5.96970305532647,knn
1,3597,0.010480871271915566,3680,0.00368,-4.558203466911735,-5.604842526801297,knn
1,3597,0.014908549790616423,5302,0.005302,-4.2058204191467965,-5.239671171115303,knn
1,3597,0.020577862619562317,7637,0.007637,-3.883539411133887,-4.8747504230758905,knn
1,3597,0.02375386296113406,11002,0.011002,-3.7400101107326074,-4.50967820452887,knn
1,3597,0.030682192291153706,15849,0.015849,-3.4840728483491015,-4.144648872131849,knn
2,4403,0.0002985159878133932,32,3.2e-05,-8.11668706605205,-10.349774655164548,knn
2,4403,0.00046873452684979177,46,4.6e-05,-7.665473990611586,-9.986869161475179,knn
2,4403,0.0006221123251171309,66,6.6e-05,-7.382389894523931,-9.625855815937848,knn
2,4403,0.0008944845513355424,95,9.5e-05,-7.019262925890698,-9.261633666363734,knn
2,4403,0.0010376943432767022,137,0.000137,-6.8707540045804825,-8.89552963213615,knn
2,4403,0.0011342616664139476,198,0.000198,-6.781773353897653,-8.52724352726974,knn
2,4403,0.00137530020737329,285,0.000285,-6.589083239059583,-8.163021377695623,knn
2,4403,0.0017403669793821185,411,0.000411,-6.353659280302727,-7.796917343468039,knn
2,4403,0.002461160845685977,593,0.000593,-6.00712215185199,-7.430316158966549,knn
2,4403,0.0035825900425539288,854,0.000854,-5.6316692645780995,-7.065579364175704,knn
2,4403,0.0049877076874106745,1231,0.001231,-5.3007788560470415,-6.699928431779821,knn
2,4403,0.007169062586171069,1773,0.001773,-4.937980374037768,-6.335082251890066,knn
2,4403,0.010363908338069876,2555,0.002555,-4.569425860583264,-5.96970305532647,knn
2,4403,0.015014261260053724,3680,0.00368,-4.198754778886832,-5.604842526801297,knn
2,4403,0.02093791601136979,5302,0.005302,-3.8661936003944906,-5.239671171115303,knn
2,4403,0.02956016028244914,7637,0.007637,-3.5213277606418316,-4.8747504230758905,knn
2,4403,0.04009892614783037,11002,0.011002,-3.216405724384038,-4.50967820452887,knn
2,4403,0.046588883457109806,15849,0.015849,-3.0663933187312282,-4.144648872131849,knn
3,4429,0.000330740944827604,32,3.2e-05,-8.014175133038304,-10.349774655164548,knn
3,4429,0.0005316896607182458,46,4.6e-05,-7.539450583348815,-9.986869161475179,knn
3,4429,0.0008959270750221121,66,6.6e-05,-7.0176515377858975,-9.625855815937848,knn
3,4429,0.00112917526564583,95,9.5e-05,-6.786267766141323,-9.261633666363734,knn
3,4429,0.0013384599801699207,137,0.000137,-6.616235594464732,-8.89552963213615,knn
3,4429,0.0016479155676482236,198,0.000198,-6.408244082030489,-8.52724352726974,knn
3,4429,0.002166315442959581,285,0.000285,-6.134727507138231,-8.163021377695623,knn
3,4429,0.0029321593277273033,411,0.000411,-5.832016155463036,-7.796917343468039,knn
