centre_number,orbit_index,x,y,local_dimension,intercept,r_squared,fit_points,min_fit_count,max_fit_count,estimator,fit_min_radius,fit_max_radius,fit_min_mass,fit_max_mass
0,1589,0.38349378035035103,-0.1496928714451247,1.2520896789059794,-1.029860074517126,0.9771182231085198,18,32,15849,knn,0.0004886577264288195,0.07520535548712394,3.2e-05,0.015849
1,3597,1.2436445999879244,0.031224031306337215,1.1517900567333976,-0.24468929918024776,0.99642792978214,18,32,15849,knn,0.000192302510986166,0.030682192291153706,3.2e-05,0.015849
2,4403,0.6657409141600701,0.06373041964132191,1.2127559320353776,-0.43762891268843984,0.9894312158627021,18,32,15849,knn,0.0002985159878133932,0.046588883457109806,3.2e-05,0.015849
3,4429,-0.1320981581354752,-0.3103082327556725,1.1266569254392007,-1.398353281684381,0.9951204185614082,18,32,15849,knn,0.000330740944827604,0.0900558748145871,3.2e-05,0.015849
4,6927,-0.0877176283276192,-0.3041797787386562,1.120659937351217,-1.4966912672730524,0.9932373304581983,18,32,15849,knn,0.0003738001816194078,0.09491215677668835,3.2e-05,0.015849
5,14818,0.3077483662805436,0.2123354153202187,1.3784305963538788,1.838847005573117,0.9784233036600143,18,32,15849,knn,0.00013690788529855958,0.02092702093022662,3.2e-05,0.015849
6,16056,1.2697582626805684,-0.0258429255659366,1.2257361553787867,0.6208229906982389,0.9913864322286792,18,32,15849,knn,0.0001451373345577631,0.02645196831563153,3.2e-05,0.015849
7,19138,0.9027690629440469,0.13890451228910344,1.4293190284479969,0.977699566620548,0.9963196760715676,18,32,15849,knn,0.0003434843178638598,0.03150228833833233,3.2e-05,0.015849
8,23021,1.2693028306175311,0.0036071459556632794,1.206224864989611,0.3761721492243072,0.9936821153302057,18,32,15849,knn,0.00018730345870837257,0.02828163122663289,3.2e-05,0.015849
9,24315,-0.2882104104070144,0.2991892535974495,1.349247965462888,0.062336537697593376,0.9706081926328154,18,32,15849,knn,0.0007719540359283309,0.04689184386688,3.2e-05,0.015849
10,27701,-0.6291333619747139,0.3308244336083176,1.4006799183926286,-0.11075571231183548,0.9847717950904488,18,32,15849,knn,0.000811041901319148,0.06027907856179206,3.2e-05,0.015849
11,30414,-1.1326173194433895,0.3667658192933178,1.3780652668393973,0.8973382284362712,0.9836694961759934,18,32,15849,knn,0.00024012812927595159,0.03316468817347493,3.2e-05,0.015849
12,31403,0.16275435024058116,-0.2752688863058092,1.168562918527591,-1.2628383656850417,0.988708712894671,18,32,15849,knn,0.0004908734668003887,0.10324320094346634,3.2e-05,0.015849
13,32148,-1.044583083715177,0.36652312552723404,1.4486676307498085,1.022367980555167,0.9858842216829217,18,32,15849,knn,0.0004865529600529692,0.03584993217430822,3.2e-05,0.015849
14,33147,-0.3082787762644917,-0.32821399807141216,1.1040952456168704,-1.6109921257308815,0.9885706304738313,18,32,15849,knn,0.0005734589201511899,0.09645413835467882,3.2e-05,0.015849
15,33274,-0.5063773785977632,0.32091962936971075,1.1488106512555145,-0.320920750326747,0.9968127947482702,18,32,15849,knn,0.00020576625934277183,0.033733847140455055,3.2e-05,0.015849
16,35508,0.5805534562586825,0.18663906364054228,1.5896263915932551,1.2227911037157926,0.9921740739614169,18,32,15849,knn,0.0008118679822204266,0.038760209327632036,3.2e-05,0.015849
17,39536,0.9145418171466382,-0.1622299734652025,0.9666106493768899,-0.7379596799877199,0.9966524365503375,18,32,15849,knn,5.131107211492742e-05,0.03949903306034956,3.2e-05,0.015849
18,39777,1.0331105025347214,-0.13450259089527322,1.1974371575975948,-0.28923666669861414,0.9949446948900394,18,32,15849,knn,0.00029624870835170817,0.04420370192634067,3.2e-05,0.015849
19,40966,1.1010606356809138,0.08894496751144285,1.5960830265466235,1.530173430068194,0.9845580535690732,18,32,15849,knn,0.0004704812322130315,0.024732196467304908,3.2e-05,0.015849
20,41079,0.640467899733665,-0.21193799282113648,1.2429669785107027,-1.1845384621897788,0.9873947805817955,18,32,15849,knn,0.0006828193827112074,0.11452945688511693,3.2e-05,0.015849
21,41942,0.5221509681989271,0.20441516621193917,1.4890039045786232,0.8863874285138716,0.9829678802705056,18,32,15849,knn,0.000784694649957435,0.03869413842554196,3.2e-05,0.015849
22,46328,1.0599813065530164,0.09871581151652911,1.379983780713853,1.367811684284531,0.9879727746388275,18,32,15849,knn,0.00018567835131744228,0.017472055135829914,3.2e-05,0.015849
23,47545,0.21289280606916414,0.24518163679300314,1.3129650878113477,-0.22864211392694428,0.987672151045779,18,32,15849,knn,0.0006691924785493809,0.05397011773217606,3.2e-05,0.015849
24,49752,0.44735986344461465,-0.2405171981394548,1.2141016991167455,-1.2176862369315722,0.9877803275520672,18,32,15849,knn,0.0006326504827131072,0.1040041732905786,3.2e-05,0.015849
25,51288,-0.40287116610374796,-0.3378351723922819,1.1334754749396363,-1.2770844352762682,0.9944007297825439,18,32,15849,knn,0.0004359645402773098,0.08256423163166772,3.2e-05,0.015849
26,53031,0.6363206011109623,0.11778299740432897,1.3719747292938937,-0.12537752508480549,0.9820795030197431,18,32,15849,knn,0.0004350010860445928,0.04359115237497501,3.2e-05,0.015849
27,54686,-1.0557915137014866,0.36645327714691184,1.1741515779157918,0.028693194224107765,0.9962530307058525,18,32,15849,knn,0.00015759886973510536,0.03579462834036326,3.2e-05,0.015849
28,56465,0.9210364233251658,-0.16086604259364193,1.0298318264508226,-0.6147398894315008,0.9977281905895327,18,32,15849,knn,8.557774307671481e-05,0.037150747976985504,3.2e-05,0.015849
29,56630,0.42568134123827966,-0.12332703020823697,1.116357156648505,-1.3765330240202613,0.9982505883276088,18,32,15849,knn,0.0003137447036399023,0.07640682828715638,3.2e-05,0.015849
