centre_number,orbit_index,radius,count_excluding_self,mass,log_radius,log_mass,estimator
0,499,0.0005555225125029157,23,7.666666666666667e-05,-7.495601423147864,-9.476043537709188,knn
0,499,0.0006612519404101447,32,0.00010666666666666667,-7.321375640338385,-9.14580185083861,knn
0,499,0.0008699195255996016,44,0.00014666666666666666,-7.047109849904772,-8.827348119720076,knn
0,499,0.0011572843700704194,62,0.00020666666666666666,-6.761679078713912,-8.484403368593247,knn
0,499,0.001630879389770049,87,0.00029,-6.418635906716437,-8.145629634983754,knn
0,499,0.002299573189522113,122,0.00040666666666666667,-6.0750317430402285,-7.807516708905082,knn
0,499,0.0031325348665325018,171,0.00057,-5.76591274067898,-7.469874197135678,knn
0,499,0.004269169464343086,239,0.0007966666666666667,-5.456335975497808,-7.135074201706828,knn
0,499,0.00559162473945484,335,0.0011166666666666666,-5.186485382980701,-6.7974072218132715,knn
0,499,0.006494318707631646,468,0.00156,-5.036827529260329,-6.4630694577206915,knn
0,499,0.00842911297043886,654,0.00218,-4.776063735465686,-6.12843040218114,knn
0,499,0.011205404871940673,914,0.0030466666666666667,-4.491359039232487,-5.793707182184188,knn
0,499,0.015182500722285748,1278,0.00426,-4.187611782618974,-5.458486118700858,knn
0,499,0.02075499418497086,1787,0.0059566666666666665,-3.8749683776520305,-5.12324423847891,knn
0,499,0.02761861686642011,2498,0.008326666666666666,-3.589265209502541,-4.788292062952816,knn
0,499,0.04008940290087545,3492,0.01164,-3.2166432464053263,-4.453307836678845,knn
0,499,0.046030527216957925,4881,0.01627,-3.0784504674502142,-4.118432357751191,knn
0,499,0.0550330009548492,6823,0.022743333333333334,-2.8998222563272145,-3.7834832168229147,knn
1,1092,0.0005741581520066289,23,7.666666666666667e-05,-7.462605673451112,-9.476043537709188,knn
1,1092,0.0007868832088054516,32,0.00010666666666666667,-7.147430721060647,-9.14580185083861,knn
1,1092,0.001061560167352737,44,0.00014666666666666666,-6.848015596983361,-8.827348119720076,knn
1,1092,0.001429956264702266,62,0.00020666666666666666,-6.550111419302315,-8.484403368593247,knn
1,1092,0.0021313425465399514,87,0.00029,-6.151003194278766,-8.145629634983754,knn
1,1092,0.0027525994003183792,122,0.00040666666666666667,-5.895209577278933,-7.807516708905082,knn
1,1092,0.003206027950679524,171,0.00057,-5.74272250659213,-7.469874197135678,knn
1,1092,0.004053045841326192,239,0.0007966666666666667,-5.508286620932079,-7.135074201706828,knn
1,1092,0.004588288536118713,335,0.0011166666666666666,-5.384248192390214,-6.7974072218132715,knn
