N,sigma,estimator,successful_centres,mean,median,std,q25,q75,iqr,trimmed_min,trimmed_max,standard_error,confidence_level,bootstrap_samples,mean_ci_low,mean_ci_high,median_ci_low,median_ci_high,knn_min_count,knn_max_count,knn_min_mass,knn_max_mass,knn_min_exponent,knn_max_exponent,requested_centres
50000,0.0,knn,500,1.266185036445619,1.227138721042608,0.24802420700849853,1.1049813694442454,1.401471531133842,0.2964901616895965,0.6908278325240244,1.8442617986708423,0.011091979738729649,0.95,1000,1.2436313983449692,1.288362667019598,1.2053861233120746,1.2591028410430034,15,1947,0.0003,0.03894,0.25,0.7,500
100000,0.0,knn,500,1.2499663367364875,1.2207938192870422,0.21401883614907488,1.1152117192352864,1.372847498898944,0.2576357796636577,0.7385065345190552,1.7441842294582879,0.009571213321894414,0.95,1000,1.2321589306549794,1.2687929116967818,1.1983866974592,1.242203333180379,18,3162,0.00018,0.03162,0.25,0.7,500
300000,0.0,knn,500,1.2440495165350625,1.2125871932424528,0.19104452114900627,1.1245280511202969,1.338214602496714,0.21368655137641723,0.805006416385206,1.6576547243269026,0.008543770720361485,0.95,1000,1.2286098989252925,1.260602643886025,1.1959950341590941,1.233958220381822,23,6823,7.666666666666667e-05,0.022743333333333334,0.25,0.7,500
1000000,0.0,knn,500,1.2466353414255544,1.2145897170785456,0.17097795907535204,1.149679996313743,1.321339124117664,0.171659127803921,0.8956960008852621,1.5747498876882902,0.007646366782933285,0.95,1000,1.2309731137706879,1.2619747972357809,1.2080067948886901,1.22869770403131,32,15849,3.2e-05,0.015849,0.25,0.7,500
