centre_number,orbit_index,radius,count_excluding_self,mass,log_radius,log_mass
0,74,0.001,3,3e-05,-6.907755278982137,-10.41431317630212
0,74,0.001310226931162212,6,6e-05,-6.637554926876824,-9.721165995742174
0,74,0.0017166946111427477,9,9e-05,-6.367354574771512,-9.315700887634009
0,74,0.0022492595121002693,15,0.00015,-6.097154222666199,-8.804875263868018
0,74,0.00294704038792655,21,0.00021,-5.826953870560886,-8.468403027246806
0,74,0.003861291683484094,41,0.00041,-5.556753518455574,-7.799353398265921
0,74,0.005059168352773535,62,0.00062,-5.286553166350261,-7.385791079925137
0,74,0.006628658625087453,88,0.00088,-5.016352814244948,-7.035588650492022
0,74,0.008685047048070261,120,0.0012,-4.746152462139635,-6.725433722188183
0,74,0.011379382540792526,169,0.00169,-4.4759521100343225,-6.383026750047155
0,74,0.014909573464943445,219,0.00219,-4.20575175792901,-6.123853735153728
0,74,0.019534924685910386,289,0.00289,-3.9355514058236976,-5.846498776857796
0,74,0.025595184421705306,383,0.00383,-3.6653510537183847,-5.564890475789582
0,74,0.033535499937381794,515,0.00515,-3.395150701613072,-5.268758564306492
0,74,0.04393911516794628,674,0.00674,-3.1249503495077597,-4.999695354057922
0,74,0.05757021202448125,895,0.00895,-2.854749997402447,-4.716101746695373
0,74,0.07543004222719395,1165,0.01165,-2.584549645297134,-4.452449098970427
0,74,0.09883047274477239,1535,0.01535,-2.3143492931918215,-4.176639804948931
0,74,0.12949034700969375,2367,0.02367,-2.0441489410865086,-3.7435468554562443
0,74,0.16966173997764095,4962,0.04962,-1.7739485889811957,-3.003361300718482
0,74,0.2222953809065457,7928,0.07928,-1.5037482368758828,-2.5347693889604046
0,74,0.291257394736718,13451,0.13451,-1.233547884770571,-2.006116733261647
0,74,0.3816132824841911,23067,0.23067,-0.9633475326652582,-1.466767161269938
0,74,0.5,43926,0.43926,-0.6931471805599453,-0.8226637860955308
1,113,0.001,6,6e-05,-6.907755278982137,-9.721165995742174
1,113,0.001310226931162212,7,7e-05,-6.637554926876824,-9.567015315914915
1,113,0.0017166946111427477,15,0.00015,-6.367354574771512,-8.804875263868018
1,113,0.0022492595121002693,34,0.00034,-6.097154222666199,-7.986564940354067
1,113,0.00294704038792655,60,0.0006,-5.826953870560886,-7.418580902748128
1,113,0.003861291683484094,88,0.00088,-5.556753518455574,-7.035588650492022
1,113,0.005059168352773535,142,0.00142,-5.286553166350261,-6.557098407368968
1,113,0.006628658625087453,201,0.00201,-5.016352814244948,-6.209620556911153
1,113,0.008685047048070261,272,0.00272,-4.746152462139635,-5.907123398674231
1,113,0.011379382540792526,488,0.00488,-4.4759521100343225,-5.322610059117081
1,113,0.014909573464943445,864,0.00864,-4.20575175792901,-4.7513526961661725
1,113,0.019534924685910386,1121,0.01121,-3.9355514058236976,-4.490949041898069
1,113,0.025595184421705306,1400,0.014,-3.6653510537183847,-4.268697949366879
1,113,0.033535499937381794,2057,0.02057,-3.395150701613072,-3.883921575317271
1,113,0.04393911516794628,2771,0.02771,-3.1249503495077597,-3.58596192010725
1,113,0.05757021202448125,3743,0.03743,-2.854749997402447,-3.2852827570657994
1,113,0.07543004222719395,5211,0.05211,-2.584549645297134,-2.954398410061014
1,113,0.09883047274477239,7175,0.07175,-2.3143492931918215,-2.6345674243424066
1,113,0.12949034700969375,9012,0.09012,-2.0441489410865086,-2.4066131634180934
1,113,0.16966173997764095,11981,0.11981,-1.7739485889811957,-2.1218481243303295
1,113,0.2222953809065457,15636,0.15636,-1.5037482368758828,-1.855594238057383
1,113,0.291257394736718,19271,0.19271,-1.233547884770571,-1.6465688107723078
1,113,0.3816132824841911,23613,0.23613,-0.9633475326652582,-1.4433727781596686
1,113,0.5,28851,0.28851,-0.6931471805599453,-1.243025531589637
2,121,0.001,8,8e-05,-6.907755278982137,-9.433483923290392
2,121,0.001310226931162212,14,0.00014,-6.637554926876824,-8.87386813535497
2,121,0.0017166946111427477,22,0.00022,-6.367354574771512,-8.421883011611913
2,121,0.0022492595121002693,40,0.0004,-6.097154222666199,-7.824046010856292
2,121,0.00294704038792655,61,0.00061,-5.826953870560886,-7.402051600796917
2,121,0.003861291683484094,112,0.00112,-5.556753518455574,-6.794426593675134
2,121,0.005059168352773535,190,0.0019,-5.286553166350261,-6.2659013928097425
2,121,0.006628658625087453,300,0.003,-5.016352814244948,-5.809142990314028
2,121,0.008685047048070261,418,0.00418,-4.746152462139635,-5.477444032445472
2,121,0.011379382540792526,574,0.00574,-4.4759521100343225,-5.160296068650662
2,121,0.014909573464943445,767,0.00767,-4.20575175792901,-4.870438663602973
2,121,0.019534924685910386,1073,0.01073,-3.9355514058236976,-4.53471172233953
2,121,0.025595184421705306,1546,0.01546,-3.6653510537183847,-4.169499235822861
2,121,0.033535499937381794,2065,0.02065,-3.395150701613072,-3.8800399595750954
2,121,0.04393911516794628,2355,0.02355,-3.1249503495077597,-3.7486294585197104
2,121,0.05757021202448125,2586,0.02586,-2.854749997402447,-3.655057905638426
2,121,0.07543004222719395,2819,0.02819,-2.584549645297134,-3.5687879738561157
2,121,0.09883047274477239,3122,0.03122,-2.3143492931918215,-3.466696363894851
2,121,0.12949034700969375,4057,0.04057,-2.0441489410865086,-3.2047264017637813
2,121,0.16966173997764095,4865,0.04865,-1.7739485889811957,-3.023103470350123
2,121,0.2222953809065457,6125,0.06125,-1.5037482368758828,-2.7927914295573006
2,121,0.291257394736718,7405,0.07405,-1.233547884770571,-2.603014738268329
2,121,0.3816132824841911,8950,0.0895,-0.9633475326652582,-2.4135166537013273
2,121,0.5,10847,0.10847,-0.6931471805599453,-2.2212816419300108
3,293,0.001,5,5e-05,-6.907755278982137,-9.903487552536127
3,293,0.001310226931162212,8,8e-05,-6.637554926876824,-9.433483923290392
3,293,0.0017166946111427477,16,0.00016,-6.367354574771512,-8.740336742730447
3,293,0.0022492595121002693,21,0.00021,-6.097154222666199,-8.468403027246806
3,293,0.00294704038792655,36,0.00036,-5.826953870560886,-7.929406526514119
3,293,0.003861291683484094,52,0.00052,-5.556753518455574,-7.5616817463888015
3,293,0.005059168352773535,70,0.0007,-5.286553166350261,-7.264430222920869
3,293,0.006628658625087453,105,0.00105,-5.016352814244948,-6.8589651148127055
3,293,0.008685047048070261,140,0.0014,-4.746152462139635,-6.571283042360924
3,293,0.011379382540792526,181,0.00181,-4.4759521100343225,-6.3144284337044025
3,293,0.014909573464943445,236,0.00236,-4.20575175792901,-6.049093659944618
3,293,0.019534924685910386,305,0.00305,-3.9355514058236976,-5.792613688362817
3,293,0.025595184421705306,553,0.00553,-3.6653510537183847,-5.197567463447894
3,293,0.033535499937381794,823,0.00823,-3.395150701613072,-4.799969264293159
3,293,0.04393911516794628,1207,0.01207,-3.1249503495077597,-4.417032243872697
3,293,0.05757021202448125,1844,0.01844,-2.854749997402447,-3.9932330608536892
3,293,0.07543004222719395,2697,0.02697,-2.584549645297134,-3.6130301418304986
3,293,0.09883047274477239,3684,0.03684,-2.3143492931918215,-3.301171067595031
3,293,0.12949034700969375,4780,0.0478,-2.0441489410865086,-3.0407296394847267
3,293,0.16966173997764095,6303,0.06303,-1.7739485889811957,-2.764144475457118
3,293,0.2222953809065457,8251,0.08251,-1.5037482368758828,-2.4948357808658854
3,293,0.291257394736718,10947,0.10947,-1.233547884770571,-2.212104739865671
3,293,0.3816132824841911,13952,0.13952,-0.9633475326652582,-1.9695473188214676
3,293,0.5,18069,0.18069,-0.6931471805599453,-1.7109724232583978
4,336,0.001,11,0.00011,-6.907755278982137,-9.115030192171858
4,336,0.001310226931162212,18,0.00018,-6.637554926876824,-8.622553707074063
4,336,0.0017166946111427477,31,0.00031,-6.367354574771512,-8.078938260485081
4,336,0.0022492595121002693,38,0.00038,-6.097154222666199,-7.875339305243843
4,336,0.00294704038792655,52,0.00052,-5.826953870560886,-7.5616817463888015
4,336,0.003861291683484094,69,0.00069,-5.556753518455574,-7.278818960372969
4,336,0.005059168352773535,100,0.001,-5.286553166350261,-6.907755278982137
4,336,0.006628658625087453,141,0.00141,-5.016352814244948,-6.56416557459206
4,336,0.008685047048070261,182,0.00182,-4.746152462139635,-6.3089187778934335
4,336,0.011379382540792526,241,0.00241,-4.4759521100343225,-6.028128531479574
4,336,0.014909573464943445,323,0.00323,-4.20575175792901,-5.735273141747572
4,336,0.019534924685910386,414,0.00414,-3.9355514058236976,-5.487059491144914
