centre_number,orbit_index,radius,count_excluding_self,mass,log_radius,log_mass
0,15,0.001,6,6e-05,-6.907755278982137,-9.721165995742174
0,15,0.001310226931162212,12,0.00012,-6.637554926876824,-9.028018815182229
0,15,0.0017166946111427477,19,0.00019,-6.367354574771512,-8.568486485803788
0,15,0.0022492595121002693,29,0.00029,-6.097154222666199,-8.145629634983754
0,15,0.00294704038792655,41,0.00041,-5.826953870560886,-7.799353398265921
0,15,0.003861291683484094,71,0.00071,-5.556753518455574,-7.250245587928913
0,15,0.005059168352773535,128,0.00128,-5.286553166350261,-6.660895201050611
0,15,0.006628658625087453,189,0.00189,-5.016352814244948,-6.271178449910586
0,15,0.008685047048070261,294,0.00294,-4.746152462139635,-5.829345697631547
0,15,0.011379382540792526,507,0.00507,-4.4759521100343225,-5.284414461379045
0,15,0.014909573464943445,737,0.00737,-4.20575175792901,-4.910337572780892
0,15,0.019534924685910386,1101,0.01101,-3.9355514058236976,-4.508951328247548
0,15,0.025595184421705306,1500,0.015,-3.6653510537183847,-4.199705077879927
0,15,0.033535499937381794,1988,0.01988,-3.395150701613072,-3.9180410777537094
0,15,0.04393911516794628,2611,0.02611,-3.1249503495077597,-3.6454368962710997
0,15,0.05757021202448125,3475,0.03475,-2.854749997402447,-3.3595757069713357
0,15,0.07543004222719395,4641,0.04641,-2.584549645297134,-3.0702403257290527
0,15,0.09883047274477239,6237,0.06237,-2.3143492931918215,-2.774670888444106
0,15,0.12949034700969375,8518,0.08518,-2.0441489410865086,-2.4629886144870694
0,15,0.16966173997764095,10265,0.10265,-1.7739485889811957,-2.2764301355171943
0,15,0.2222953809065457,13377,0.13377,-1.5037482368758828,-2.011633371674642
0,15,0.291257394736718,24847,0.24847,-1.233547884770571,-1.3924331650793005
0,15,0.3816132824841911,37884,0.37884,-0.9633475326652582,-0.9706413266242364
0,15,0.5,44882,0.44882,-0.6931471805599453,-0.8011333624867065
1,208,0.001,5,5e-05,-6.907755278982137,-9.903487552536127
1,208,0.001310226931162212,9,9e-05,-6.637554926876824,-9.315700887634009
1,208,0.0017166946111427477,14,0.00014,-6.367354574771512,-8.87386813535497
1,208,0.0022492595121002693,19,0.00019,-6.097154222666199,-8.568486485803788
1,208,0.00294704038792655,26,0.00026,-5.826953870560886,-8.254828926948747
1,208,0.003861291683484094,29,0.00029,-5.556753518455574,-8.145629634983754
1,208,0.005059168352773535,54,0.00054,-5.286553166350261,-7.523941418405954
1,208,0.006628658625087453,121,0.00121,-5.016352814244948,-6.717134919373487
1,208,0.008685047048070261,176,0.00176,-4.746152462139635,-6.342441469932076
1,208,0.011379382540792526,233,0.00233,-4.4759521100343225,-6.061887011404528
1,208,0.014909573464943445,299,0.00299,-4.20575175792901,-5.812481891579542
1,208,0.019534924685910386,417,0.00417,-3.9355514058236976,-5.479839243171427
1,208,0.025595184421705306,547,0.00547,-3.6653510537183847,-5.2084766625482475
1,208,0.033535499937381794,774,0.00774,-3.395150701613072,-4.861353591380501
1,208,0.04393911516794628,1521,0.01521,-3.1249503495077597,-4.185802172710936
1,208,0.05757021202448125,2432,0.02432,-2.854749997402447,-3.7164562218841706
1,208,0.07543004222719395,4802,0.04802,-2.584549645297134,-3.03613768818903
1,208,0.09883047274477239,7221,0.07221,-2.3143492931918215,-2.6281767385190467
1,208,0.12949034700969375,10155,0.10155,-2.0441489410865086,-2.2872039909557436
1,208,0.16966173997764095,14400,0.144,-1.7739485889811957,-1.9379419794061366
1,208,0.2222953809065457,20167,0.20167,-1.5037482368758828,-1.6011225808303866
1,208,0.291257394736718,25631,0.25631,-1.233547884770571,-1.3613676295960322
1,208,0.3816132824841911,36592,0.36592,-0.9633475326652582,-1.0053405487076659
1,208,0.5,49668,0.49668,-0.6931471805599453,-0.6998093234334957
2,503,0.001,3,3e-05,-6.907755278982137,-10.41431317630212
2,503,0.001310226931162212,5,5e-05,-6.637554926876824,-9.903487552536127
2,503,0.0017166946111427477,14,0.00014,-6.367354574771512,-8.87386813535497
2,503,0.0022492595121002693,17,0.00017,-6.097154222666199,-8.679712120914012
2,503,0.00294704038792655,22,0.00022,-5.826953870560886,-8.421883011611913
2,503,0.003861291683484094,32,0.00032,-5.556753518455574,-8.047189562170502
2,503,0.005059168352773535,43,0.00043,-5.286553166350261,-7.751725349276666
