centre_number,orbit_index,radius,count_excluding_self,mass,log_radius,log_mass,estimator
0,12,0.0008419113856289988,15,0.0003,-7.079835791981255,-8.111728083308073,knn
0,12,0.0009114108489420282,19,0.00038,-7.000516775604255,-7.875339305243843,knn
0,12,0.0012024632784625037,26,0.00052,-6.723383094111761,-7.5616817463888015,knn
0,12,0.0016807590388003646,35,0.0007,-6.388509778792097,-7.264430222920869,knn
0,12,0.0021538741758973566,47,0.00094,-6.140487116115044,-6.969630682700225,knn
0,12,0.002856430478029365,62,0.00124,-5.858182518261745,-6.6926438993651916,knn
0,12,0.003956877101915104,83,0.00166,-5.532300175460185,-6.400937676613685,knn
0,12,0.004896788792386054,111,0.00222,-5.319175637192887,-6.110248083097949,knn
0,12,0.006729775203319672,148,0.00296,-5.001213538064692,-5.822566010646168,knn
0,12,0.00877747016338824,197,0.00394,-4.735567049142703,-5.536574555672295,knn
0,12,0.01138672349755468,262,0.00524,-4.475307207739287,-5.251433780649187,knn
0,12,0.014817127404760728,349,0.00698,-4.211971510239445,-4.964706362207856,knn
0,12,0.018176962887562504,465,0.0093,-4.0076002620783795,-4.677740878822926,knn
0,12,0.024427157151027307,619,0.01238,-3.7120597676131273,-4.391673011725687,knn
0,12,0.029748003427468025,824,0.01648,-3.514993260924335,-4.105607754500811,knn
0,12,0.04186397845856734,1098,0.02196,-3.1733295244698025,-3.8185326623408073,knn
0,12,0.05939347716131046,1462,0.02924,-2.8235708707424783,-3.5322176441005593,knn
0,12,0.0864834436532222,1947,0.03894,-2.44780228621709,-3.2457332790380833,knn
1,14,0.0020980188326762284,15,0.0003,-6.166761792558221,-8.111728083308073,knn
1,14,0.002376716779535225,19,0.00038,-6.042035248087895,-7.875339305243843,knn
1,14,0.0031786031636500565,26,0.00052,-5.751313435405361,-7.5616817463888015,knn
1,14,0.0038860902334979367,35,0.0007,-5.550351708147749,-7.264430222920869,knn
1,14,0.0056707577940339335,47,0.00094,-5.172432520431373,-6.969630682700225,knn
1,14,0.0071096110412738125,62,0.00124,-4.9463077425320705,-6.6926438993651916,knn
1,14,0.009820684654678207,83,0.00166,-4.623264438610456,-6.400937676613685,knn
1,14,0.012872768000695726,111,0.00222,-4.352641206630039,-6.110248083097949,knn
1,14,0.01648343551273569,148,0.00296,-4.105399310648119,-5.822566010646168,knn
1,14,0.022265322449996308,197,0.00394,-3.8047248579420705,-5.536574555672295,knn
1,14,0.02832259062674273,262,0.00524,-3.5640955374073715,-5.251433780649187,knn
1,14,0.029694548010387387,349,0.00698,-3.5167918186980995,-4.964706362207856,knn
1,14,0.03198759855180969,465,0.0093,-3.4424069965534283,-4.677740878822926,knn
1,14,0.03681096575936179,619,0.01238,-3.3019594956038936,-4.391673011725687,knn
1,14,0.044300862609322464,824,0.01648,-3.1167511301268886,-4.105607754500811,knn
1,14,0.0555123081661393,1098,0.02196,-2.891150514057538,-3.8185326623408073,knn
1,14,0.0707082070333067,1462,0.02924,-2.6491936303087886,-3.5322176441005593,knn
1,14,0.09247099840870904,1947,0.03894,-2.3808602143414475,-3.2457332790380833,knn
2,210,0.0016889580000688405,15,0.0003,-6.383643508209978,-8.111728083308073,knn
2,210,0.0023930803784500917,19,0.00038,-6.035173881631243,-7.875339305243843,knn
2,210,0.003282555957087964,26,0.00052,-5.719132904838041,-7.5616817463888015,knn
2,210,0.004417138798073081,35,0.0007,-5.422263123254241,-7.264430222920869,knn
2,210,0.00688649806090794,47,0.00094,-4.978192587185677,-6.969630682700225,knn
2,210,0.00767088164336139,62,0.00124,-4.8703237232256384,-6.6926438993651916,knn
2,210,0.008053512374188266,83,0.00166,-4.821646962936519,-6.400937676613685,knn
2,210,0.008928925681905732,111,0.00222,-4.718459195708739,-6.110248083097949,knn
2,210,0.010553703830239873,148,0.00296,-4.551278406715717,-5.822566010646168,knn
2,210,0.013174178810966674,197,0.00394,-4.3294965158356575,-5.536574555672295,knn
2,210,0.016233275901593444,262,0.00524,-4.120692075457482,-5.251433780649187,knn
2,210,0.019840082330171743,349,0.00698,-3.920051027427783,-4.964706362207856,knn
2,210,0.02510489504192701,465,0.0093,-3.6846924302679196,-4.677740878822926,knn
2,210,0.03256987281148331,619,0.01238,-3.4243675647834952,-4.391673011725687,knn
2,210,0.04282890666524089,824,0.01648,-3.1505420149923613,-4.105607754500811,knn
2,210,0.055728613673812794,1098,0.02196,-2.8872615534715775,-3.8185326623408073,knn
2,210,0.07063355942311549,1462,0.02924,-2.650249901487551,-3.5322176441005593,knn
2,210,0.09359876627023954,1947,0.03894,-2.3687380764589685,-3.2457332790380833,knn
3,319,0.0012340598769375955,15,0.0003,-6.6974458320362595,-8.111728083308073,knn
3,319,0.001630659498272264,19,0.00038,-6.418770745825009,-7.875339305243843,knn
3,319,0.0022404064943112602,26,0.00052,-6.10109795890433,-7.5616817463888015,knn
3,319,0.0024750042464047636,35,0.0007,-6.001513167243859,-7.264430222920869,knn
3,319,0.003048504928133973,47,0.00094,-5.793103996041042,-6.969630682700225,knn
3,319,0.004587408393545516,62,0.00124,-5.38444003451025,-6.6926438993651916,knn
3,319,0.007299413894456432,83,0.00166,-4.919961222481706,-6.400937676613685,knn
3,319,0.009892868400152926,111,0.00222,-4.615941145049055,-6.110248083097949,knn
3,319,0.01279813338162809,148,0.00296,-4.358455948251035,-5.822566010646168,knn
3,319,0.018611525809247118,197,0.00394,-3.983974223013577,-5.536574555672295,knn
3,319,0.025632098096815787,262,0.00524,-3.663909880980549,-5.251433780649187,knn
3,319,0.03386749956444131,349,0.00698,-3.3852994393700513,-4.964706362207856,knn
3,319,0.037023085726450675,465,0.0093,-3.296213622353922,-4.677740878822926,knn
3,319,0.04450782734214825,619,0.01238,-3.112090209948538,-4.391673011725687,knn
3,319,0.05782736419438485,824,0.01648,-2.8502931863673453,-4.105607754500811,knn
3,319,0.07483439524089609,1098,0.02196,-2.592477670267112,-3.8185326623408073,knn
3,319,0.09820683117367077,1462,0.02924,-2.320679502154504,-3.5322176441005593,knn
3,319,0.1263407590417323,1947,0.03894,-2.0687725856007693,-3.2457332790380833,knn
4,498,0.0024918471502333463,15,0.0003,-5.994731016120516,-8.111728083308073,knn
4,498,0.0028872887089894,19,0.00038,-5.847437380187566,-7.875339305243843,knn
4,498,0.004001215440892949,26,0.00052,-5.521157103795177,-7.5616817463888015,knn
4,498,0.005204496215410751,35,0.0007,-5.258232370185353,-7.264430222920869,knn
4,498,0.006527398889990119,47,0.00094,-5.031746747363105,-6.969630682700225,knn
4,498,0.00907438545963683,62,0.00124,-4.7022996190705415,-6.6926438993651916,knn
4,498,0.011406500323516932,83,0.00166,-4.473571882268838,-6.400937676613685,knn
4,498,0.014881136591845576,111,0.00222,-4.2076608686337,-6.110248083097949,knn
