centre_number,orbit_index,x,y,local_dimension,intercept,r_squared,fit_points,min_fit_count,max_fit_count
0,75,-0.21105068057235654,-0.3174224864490905,0.7725220274790208,-2.3973279843060853,0.9923455704670334,14,115.0,1850.0
1,252,1.0563712353907522,-0.12850038430942423,1.2238701468917101,-0.26198493821680335,0.994489220346832,14,63.0,4122.0
2,1047,0.48690296119750076,0.13220435571945105,1.298562884765077,-0.47259048228545775,0.9528549518308215,14,50.0,5820.0
3,1461,-0.3597315582838441,-0.3332741614157316,1.1633246829945243,-1.3930222043470384,0.9967023595922901,14,26.0,1869.0
4,1557,0.6948198280883505,0.09597462230542769,1.3609430769686472,0.2500784404775038,0.9913177066717348,14,50.0,7141.0
5,1630,-0.06937351376540878,0.27839474100380784,1.083268765247244,-1.2290009818263294,0.9947453324563436,14,63.0,2613.0
6,1650,-0.5108032750553925,0.29614922534734717,1.4461742161649163,0.2672664112012738,0.9666699003763558,14,40.0,4314.0
7,1683,0.3272753854760534,0.21969293630398165,1.7210329008491194,1.935886362945987,0.9617192415451492,14,35.0,7123.0
8,1804,0.807166577662181,0.14475453716700423,1.6149549055557189,1.0245772996868423,0.9837796771413785,14,21.0,4853.0
9,2017,-0.9251810067652783,-0.3851115542016415,0.6106906183718053,-2.800795512475902,0.9980885764954629,14,176.0,1428.0
10,2850,1.0329218551810473,0.11128087328257621,1.4007776388112316,0.9612192948583388,0.9823550664691151,14,56.0,7001.0
11,2864,0.6267749290540519,0.1265451366659499,1.4921439457872536,0.5137127303448357,0.9821631294449102,14,31.0,7230.0
12,2867,0.44168054518642513,0.2168000557553551,1.4020136663885612,0.5717226520632186,0.9942962283256507,14,62.0,6994.0
13,2983,-0.5772820892424164,0.32780827347146674,1.3451352759507484,-0.13410312723450069,0.9812205485749892,14,39.0,3790.0
14,3290,-0.3565940586340124,0.30710254186624286,1.2023508492052737,-0.43470732916750826,0.9919231517749607,14,66.0,4059.0
15,3399,-1.2281300307463245,0.37933927810313034,1.2775061260624758,0.012633224076394743,0.9803210731540849,14,51.0,3932.0
16,3428,-1.137504439676101,0.36961574639630507,0.9890876979220852,-0.7767931389110501,0.9621096712892242,14,95.0,4183.0
17,3823,0.3502663966331118,-0.15606820760067555,1.504060648902578,-0.08653005545927406,0.9735631932244837,14,19.0,2309.0
18,4218,0.6617114070554481,-0.04185072425394335,1.1257731857995936,-0.687806509737722,0.9983203474087678,14,73.0,4000.0
19,4365,-0.7716042474679566,0.3267461305456729,1.2368544599373075,-0.6056601539596654,0.9940664043022491,14,45.0,2918.0
20,4415,0.7373468864521907,-0.192116211018187,1.1747142193358338,-1.3175556209849302,0.9824145607386177,14,19.0,1516.0
21,4561,0.9823415805368471,-0.14720306315666137,1.1828153712982854,-0.42582123558587426,0.9960136387173129,14,60.0,3813.0
22,4846,0.10899291335906461,0.2397166941722227,0.9324227950114727,-1.320980263904312,0.9689536227765103,14,157.0,3473.0
23,4927,0.9199951001737308,0.13540975557889906,1.2190541999951423,0.01449832161713657,0.9965525772574116,14,75.0,5344.0
24,4966,-0.010840944375653843,-0.2971340134912854,1.003510397654227,-1.9525112696181162,0.9988450679515788,14,42.0,1520.0
25,5317,0.9800043520955061,0.1201905660636241,1.313267822906497,0.5713058891686563,0.9706894462616563,14,52.0,6526.0
26,5650,0.6544117176977303,0.17645944200334374,1.5790969441183866,0.9945912830375462,0.9802768607981636,14,29.0,6311.0
27,5683,0.9365840360699139,0.1304151118620038,1.2154810602443338,0.09539507345816395,0.98885632363932,14,65.0,5617.0
28,5751,-0.6139354918607188,0.3089662627677599,1.3105575315330351,-0.43006784639219336,0.9937213657637127,14,36.0,3429.0
29,5774,0.5431067934521041,0.1162949119935392,1.331783815641316,-0.3296905040755737,0.9718159540564068,14,38.0,5669.0
30,5826,1.2652713579907886,-0.032284051342962715,1.0774928406145523,-0.22560131414379284,0.9984202567520291,14,152.0,6711.0
31,5984,-0.9031643703046806,0.35458661740525016,1.3562582255477222,-0.045694228313252594,0.9905561947423729,14,40.0,3393.0
32,6365,0.33883199184466917,0.22937364769046503,1.5758984501394966,1.2472682799550168,0.9854236739814568,14,49.0,7223.0
33,6676,0.7064093462547273,0.012385067444359436,1.0397578555591318,-0.7175370066269571,0.9932349130200224,14,118.0,5839.0
34,7382,1.251788094875425,-0.04734764190809524,1.1515736463210446,-0.028882280356050376,0.9967653098552414,14,135.0,6883.0
35,7442,0.7377147208607319,0.08296328821426509,1.4766637539467466,0.2859044301837112,0.961702995614759,14,26.0,6417.0
36,7616,0.8754311374471069,-0.1703936892530104,1.3257439138312268,-0.31329311532201215,0.9935028171778605,14,30.0,2861.0
37,7915,0.6523984240078633,0.18582373044188297,1.3330818299341047,0.13477471075573091,0.9969542188257006,14,49.0,5586.0
38,8256,0.7043423625500477,0.0006094392416445173,1.0074470145549248,-0.8412969692486288,0.9942684772939003,14,126.0,5418.0
39,8434,1.2550122603868414,0.021792307267431418,1.162473718435502,-0.06377098123691981,0.9851420261239727,14,133.0,7023.0
40,8794,0.24868348736681972,-0.1745596252426622,0.9927430411447803,-1.9683538048733695,0.9928630906665502,14,44.0,1811.0
41,9376,0.7774853518138537,-0.18477260411956234,1.1851200776014947,-1.2354809456551161,0.9889983137534173,14,22.0,1628.0
42,9475,1.1471650995545006,-0.08869656081641782,1.183626361140815,-0.22714761936726105,0.9907711152572585,14,96.0,4836.0
43,9547,-0.30937270276331663,0.3023961594308897,1.1822711700767363,-0.5483932530133868,0.9905767618283152,14,64.0,3846.0
44,9677,0.4305828311324075,0.20794057568343985,1.3791579729557681,0.6223088136807714,0.9947671166646068,14,73.0,7313.0
45,9746,0.3025491176806258,0.21121215032941332,0.9057395843110531,-0.6388288771268482,0.9962495343669937,14,269.0,6756.0
46,9916,0.6282661023536347,-0.05919323663272093,0.9538131565419269,-1.3433266294569473,0.9960223216054118,14,90.0,3029.0
47,10011,-0.4206759073089228,0.31276142389959166,1.1922470176057458,-0.4785617571304025,0.9919190228855415,14,72.0,4217.0
48,10063,0.9763608945341908,-0.14244017973451278,1.3205038277940921,0.010557103130590835,0.982252350493507,14,43.0,3756.0
49,10274,-0.2664795708647047,0.26634971152371234,1.3796585328827788,-0.4016298608186858,0.9419730618527977,14,37.0,3601.0
50,10385,0.11068873846635478,0.23825245594814665,0.8651175218600943,-1.534187699037569,0.948395221449138,14,199.0,3477.0
51,10467,-0.0367172659911523,-0.2985213956915214,0.9715896099316151,-2.024390193713329,0.9968330112839193,14,44.0,1634.0
52,10596,-1.0841043803159507,0.3588477357135548,1.3337465477831392,0.16689098131442487,0.9951983528644841,14,46.0,4334.0
53,10707,1.0187613327007725,0.11039783862861269,1.284662767035261,0.5922605479318275,0.9789960661481887,14,60.0,7137.0
54,10842,1.1028279776889038,0.09196497162850496,1.40061970929068,0.7031982214333709,0.9919335290661434,14,56.0,6356.0
55,10843,-0.6108003228055967,0.330844649719319,1.2816153724443493,-0.5334447421654497,0.9850839190143269,14,34.0,3476.0
56,11011,0.34813631909095616,-0.2515789942810079,1.051708819597608,-1.696819425274844,0.9973986841622664,14,36.0,1816.0
57,11133,0.9574502162019934,0.12944996472825945,1.3056977276961352,0.42354902481260664,0.9893862637822971,14,63.0,5894.0
58,11176,0.7611318882192006,0.1590679771508583,1.5418939904799145,0.8667456592136918,0.9714690804046728,14,23.0,5463.0
59,11224,1.2681432004184128,0.0021799690005313076,1.0951795651289236,-0.18482406232492585,0.9978432669462363,14,138.0,6745.0
60,11319,-0.6785118142915497,-0.363676984279202,1.0580394637854158,-2.0307849605178987,0.9975768084058328,14,27.0,1053.0
61,11546,1.1031740408025035,-0.11531948161399865,1.261301710145265,-0.006495481617236588,0.9848147095351915,14,68.0,4275.0
62,11707,-0.18835464213855493,-0.31624922610527606,0.9259836542006672,-1.8588231821345784,0.9960329598836911,14,67.0,1845.0
63,11778,0.7057913364059484,0.02366153526607061,1.1178720661004538,-0.480100180684425,0.9945101080549924,14,93.0,5988.0
64,12204,-0.4221292584990196,-0.2589544022289785,1.071925825068299,-2.1406209614736866,0.968252116763612,14,26.0,1918.0
65,12311,0.3407188019108292,0.19950460695411554,1.4110286143621191,0.914648422325357,0.9875659863859522,14,89.0,7458.0
66,12313,-0.4032429940079424,0.3110648871451229,1.1646818161431869,-0.5628918425388706,0.9912273841336495,14,74.0,4192.0
67,13056,-0.6881281603106737,0.31661691831902905,1.2024507209055235,-0.8903952782956001,0.9887321462859009,14,46.0,2620.0
68,13335,0.38403942422255977,-0.13306744881271615,1.1794139500601455,-1.039198417847376,0.9957937727826195,14,35.0,1986.0
69,13411,-0.32954077747818783,-0.2475437721716928,1.0853835547730486,-2.4635673693045903,0.9640401597054703,14,14.0,1358.0
70,13464,0.3104915474034222,-0.16364295543958404,1.2997132844982293,-0.828905683051885,0.998131516799131,14,25.0,2368.0
71,13581,-0.9188297574343104,0.3561863539623088,1.2930241918000542,-0.22077639991638306,0.9904005367928588,14,40.0,3463.0
72,13854,-0.22823482126246117,0.2612946618199932,1.4143068228645095,-0.3346901807378032,0.9775938826207438,14,23.0,3196.0
73,13862,1.1748080399488974,-0.09009356622262316,1.2373583032981719,-0.057422049566528265,0.9984155194528287,14,76.0,5270.0
74,14851,1.037143360310974,0.09363845110336279,1.7859276316474169,2.091284060581196,0.9675516494804678,14,24.0,6933.0
75,14902,0.6837184215902203,0.10669536523591824,1.160845118984758,-0.344607273521052,0.9696951765812155,14,82.0,7370.0
76,14974,-0.697089965750824,0.31838333421175036,1.2795575972715778,-0.620321729953533,0.9957832429554515,14,33.0,2658.0
77,15424,1.078634763695477,0.09254358979878757,0.7272126237440545,-1.0662595925589278,0.9980531034441557,14,459.0,6537.0
78,15587,0.6289540385458351,-0.058902515804075115,0.95789957823633,-1.3275251556350696,0.9968083456376604,14,94.0,3050.0
79,15621,0.5535666061812242,0.1130578441051033,1.306364983875724,-0.3933215727941063,0.9707554497156292,14,42.0,5634.0
80,16432,-0.40074846436217704,-0.2562810663445218,1.11178259630461,-2.0662788401810595,0.9805648181724858,14,21.0,1651.0
81,16535,-1.0151083042157976,0.36199192384334383,1.218037837571662,-0.24230095946533098,0.9931236122643093,14,64.0,3927.0
82,16668,1.2680661036418002,-0.028823970440919795,1.0405139773006769,-0.34785338424407203,0.9985418603195638,14,166.0,6646.0
83,16822,0.70108136667242,-0.006367175454156773,1.0162018008617204,-0.8224803139289945,0.9963535743391654,14,115.0,5007.0
84,17036,-0.6673049893761079,-0.36262097034558405,0.9890370060961322,-2.3024477355092974,0.9974501309528405,14,36.0,1049.0
85,17483,-1.26535746438271,0.3783579512395599,0.8757977624745416,-1.1050183001368017,0.9226723746781373,14,105.0,2995.0
86,17484,-0.8631945164816777,-0.37968409252719004,1.0072400015100602,-1.552752405270269,0.997886534478077,14,59.0,1814.0
87,17839,-1.0679198431046806,0.3657744462920299,1.4696160721797211,0.7031901608532876,0.9593967439971677,14,24.0,4372.0
88,18509,-0.04225153454805621,0.2343360676219908,1.429308960445087,-0.6251886619571876,0.9759675493625414,14,17.0,2489.0
89,18625,0.5069615095278593,-0.2293366212038286,1.0183382443203908,-1.8915907631669988,0.99554694585782,14,32.0,1372.0
90,18663,0.8120997840131826,0.15877737718134313,1.2229367381687835,-0.15872812033168457,0.9944379557772076,14,55.0,4314.0
91,18896,-1.2790941309230675,0.3818050622131867,0.4926163650891745,-2.4204137473879324,0.978719236368072,14,410.0,2801.0
92,19145,0.3919920821278045,-0.24582096725434144,1.0236198701063082,-1.8790699392954402,0.9982435048911478,14,41.0,1621.0
93,19450,-0.32655963999844767,0.2734711288540419,1.0405411771553084,-0.9714205219294263,0.9767713216936156,14,104.0,3839.0
94,19548,-1.1452371978565046,0.368763624532903,0.7946081803343567,-1.452671416023327,0.9978424432093452,14,243.0,4134.0
95,19815,0.2944524024686731,-0.25875967958168644,0.9766971340727251,-1.8225388150189292,0.9957616299276993,14,51.0,1916.0
96,19838,-0.25417512894144983,0.29576469694915297,1.1076240026611015,-0.9056004759660565,0.9937161449071754,14,71.0,3559.0
97,19862,0.40733959361081057,0.20392446531976566,1.5959405767690498,1.3214552831583284,0.9924525515534022,14,39.0,7890.0
98,20145,0.901691385423387,-0.16482514264928214,0.8942504511585507,-1.350713788737301,0.9979476342122874,14,141.0,3084.0
99,20314,-0.7841256058096494,0.34581309374907987,1.2004294174814156,-0.7599644590016165,0.980443229601896,14,56.0,2990.0
