centre_number,orbit_index,radius,count_excluding_self,mass,log_radius,log_mass
0,75,0.001,13,0.00013,-6.907755278982137,-8.947976107508692
0,75,0.001310226931162212,47,0.00047,-6.637554926876824,-7.66277786326017
0,75,0.0017166946111427477,71,0.00071,-6.367354574771512,-7.250245587928913
0,75,0.0022492595121002693,98,0.00098,-6.097154222666199,-6.927957986299656
0,75,0.00294704038792655,115,0.00115,-5.826953870560886,-6.767993336606978
0,75,0.003861291683484094,132,0.00132,-5.556753518455574,-6.630123542383857
0,75,0.005059168352773535,152,0.00152,-5.286553166350261,-6.489044944123952
0,75,0.006628658625087453,180,0.0018,-5.016352814244948,-6.319968614080018
0,75,0.008685047048070261,229,0.00229,-4.746152462139635,-6.079203461415989
0,75,0.011379382540792526,270,0.0027,-4.4759521100343225,-5.914503505971854
0,75,0.014909573464943445,335,0.00335,-4.20575175792901,-5.698794933145162
0,75,0.019534924685910386,411,0.00411,-3.9355514058236976,-5.4943322504739935
0,75,0.025595184421705306,516,0.00516,-3.6653510537183847,-5.266818699488666
0,75,0.033535499937381794,629,0.00629,-3.395150701613072,-5.068794208269788
0,75,0.04393911516794628,784,0.00784,-3.1249503495077597,-4.848516444619821
0,75,0.05757021202448125,982,0.00982,-2.854749997402447,-4.623334156615763
0,75,0.07543004222719395,1232,0.01232,-2.584549645297134,-4.396531320876764
0,75,0.09883047274477239,1850,0.0185,-2.3143492931918215,-3.989984546897858
0,75,0.12949034700969375,2519,0.02519,-2.0441489410865086,-3.681308188617618
0,75,0.16966173997764095,3366,0.03366,-1.7739485889811957,-3.391445090219477
0,75,0.2222953809065457,4593,0.04593,-1.5037482368758828,-3.080636780644435
0,75,0.291257394736718,6181,0.06181,-1.233547884770571,-2.783690115310955
0,75,0.3816132824841911,8208,0.08208,-0.9633475326652582,-2.5000608975596776
0,75,0.5,10218,0.10218,-0.6931471805599453,-2.281019315079485
1,252,0.001,27,0.00027,-6.907755278982137,-8.2170885989659
1,252,0.001310226931162212,32,0.00032,-6.637554926876824,-8.047189562170502
1,252,0.0017166946111427477,38,0.00038,-6.367354574771512,-7.875339305243843
1,252,0.0022492595121002693,50,0.0005,-6.097154222666199,-7.600902459542082
1,252,0.00294704038792655,63,0.00063,-5.826953870560886,-7.369790738578696
1,252,0.003861291683484094,79,0.00079,-5.556753518455574,-7.143477612503207
1,252,0.005059168352773535,101,0.00101,-5.286553166350261,-6.897804948128969
1,252,0.006628658625087453,143,0.00143,-5.016352814244948,-6.550080834710321
1,252,0.008685047048070261,261,0.00261,-4.746152462139635,-5.948405057647535
1,252,0.011379382540792526,371,0.00371,-4.4759521100343225,-5.596723402362794
1,252,0.014909573464943445,504,0.00504,-4.20575175792901,-5.29034919689886
1,252,0.019534924685910386,685,0.00685,-3.9355514058236976,-4.983506626708003
1,252,0.025595184421705306,938,0.00938,-3.6653510537183847,-4.669175515964004
1,252,0.033535499937381794,1242,0.01242,-3.395150701613072,-4.388447202476804
1,252,0.04393911516794628,1667,0.01667,-3.1249503495077597,-4.0941445822194344
1,252,0.05757021202448125,2226,0.02226,-2.854749997402447,-3.8049639331347382
1,252,0.07543004222719395,3052,0.03052,-2.584549645297134,-3.489373072565881
1,252,0.09883047274477239,4122,0.04122,-2.3143492931918215,-3.188831703519824
1,252,0.12949034700969375,5339,0.05339,-2.0441489410865086,-2.930131816470042
1,252,0.16966173997764095,7303,0.07303,-1.7739485889811957,-2.6168849633501186
1,252,0.2222953809065457,12272,0.12272,-1.5037482368758828,-2.097849941363191
1,252,0.291257394736718,23828,0.23828,-1.233547884770571,-1.4343088262216503
1,252,0.3816132824841911,29656,0.29656,-0.9633475326652582,-1.2155057201396602
1,252,0.5,38816,0.38816,-0.6931471805599453,-0.9463376532264517
2,1047,0.001,15,0.00015,-6.907755278982137,-8.804875263868018
2,1047,0.001310226931162212,18,0.00018,-6.637554926876824,-8.622553707074063
2,1047,0.0017166946111427477,29,0.00029,-6.367354574771512,-8.145629634983754
2,1047,0.0022492595121002693,36,0.00036,-6.097154222666199,-7.929406526514119
2,1047,0.00294704038792655,50,0.0005,-5.826953870560886,-7.600902459542082
2,1047,0.003861291683484094,59,0.00059,-5.556753518455574,-7.435388021064509
2,1047,0.005059168352773535,72,0.00072,-5.286553166350261,-7.236259345954173
2,1047,0.006628658625087453,94,0.00094,-5.016352814244948,-6.969630682700225
2,1047,0.008685047048070261,125,0.00125,-4.746152462139635,-6.684611727667927
2,1047,0.011379382540792526,152,0.00152,-4.4759521100343225,-6.489044944123952
2,1047,0.014909573464943445,192,0.00192,-4.20575175792901,-6.255430092942447
2,1047,0.019534924685910386,244,0.00244,-3.9355514058236976,-6.0157572396770265
2,1047,0.025595184421705306,323,0.00323,-3.6653510537183847,-5.735273141747572
2,1047,0.033535499937381794,623,0.00623,-3.395150701613072,-5.0783789461827755
2,1047,0.04393911516794628,1052,0.01052,-3.1249503495077597,-4.554477071672573
2,1047,0.05757021202448125,1511,0.01511,-2.854749997402447,-4.192398502697489
2,1047,0.07543004222719395,2934,0.02934,-2.584549645297134,-3.5288035062673013
2,1047,0.09883047274477239,5820,0.0582,-2.3143492931918215,-2.843869924244745
2,1047,0.12949034700969375,8754,0.08754,-2.0441489410865086,-2.4356594472193875
2,1047,0.16966173997764095,12423,0.12423,-1.7739485889811957,-2.0856205927565514
2,1047,0.2222953809065457,17795,0.17795,-1.5037482368758828,-1.7262526670259355
2,1047,0.291257394736718,26640,0.2664,-1.233547884770571,-1.3227563403159028
2,1047,0.3816132824841911,34780,0.3478,-0.9633475326652582,-1.0561276770619543
2,1047,0.5,44062,0.44062,-0.6931471805599453,-0.819572452997718
3,1461,0.001,8,8e-05,-6.907755278982137,-9.433483923290392
3,1461,0.001310226931162212,11,0.00011,-6.637554926876824,-9.115030192171858
3,1461,0.0017166946111427477,16,0.00016,-6.367354574771512,-8.740336742730447
3,1461,0.0022492595121002693,21,0.00021,-6.097154222666199,-8.468403027246806
3,1461,0.00294704038792655,26,0.00026,-5.826953870560886,-8.254828926948747
3,1461,0.003861291683484094,38,0.00038,-5.556753518455574,-7.875339305243843
3,1461,0.005059168352773535,49,0.00049,-5.286553166350261,-7.621105166859602
3,1461,0.006628658625087453,74,0.00074,-5.016352814244948,-7.208860371766058
3,1461,0.008685047048070261,111,0.00111,-4.746152462139635,-6.803395263657894
3,1461,0.011379382540792526,151,0.00151,-4.4759521100343225,-6.495645628155304
3,1461,0.014909573464943445,196,0.00196,-4.20575175792901,-6.234810805739711
3,1461,0.019534924685910386,269,0.00269,-3.9355514058236976,-5.9182140853683896
3,1461,0.025595184421705306,343,0.00343,-3.6653510537183847,-5.675195017804288
3,1461,0.033535499937381794,468,0.00468,-3.395150701613072,-5.3644571690525815
3,1461,0.04393911516794628,632,0.00632,-3.1249503495077597,-5.064036070823371
3,1461,0.05757021202448125,832,0.00832,-2.854749997402447,-4.78909302414902
3,1461,0.07543004222719395,1095,0.01095,-2.584549645297134,-4.514415822719627
3,1461,0.09883047274477239,1869,0.01869,-2.3143492931918215,-3.9797666575146655
3,1461,0.12949034700969375,2689,0.02689,-2.0441489410865086,-3.6160008087013638
3,1461,0.16966173997764095,3661,0.03661,-1.7739485889811957,-3.3074338518499924
3,1461,0.2222953809065457,4981,0.04981,-1.5037482368758828,-2.9995395118969452
3,1461,0.291257394736718,6252,0.06252,-1.233547884770571,-2.772268773428861
3,1461,0.3816132824841911,7677,0.07677,-0.9633475326652582,-2.5669413401423298
3,1461,0.5,9486,0.09486,-0.6931471805599453,-2.355353158532701
4,1557,0.001,14,0.00014,-6.907755278982137,-8.87386813535497
4,1557,0.001310226931162212,20,0.0002,-6.637554926876824,-8.517193191416238
4,1557,0.0017166946111427477,30,0.0003,-6.367354574771512,-8.111728083308073
4,1557,0.0022492595121002693,36,0.00036,-6.097154222666199,-7.929406526514119
4,1557,0.00294704038792655,50,0.0005,-5.826953870560886,-7.600902459542082
4,1557,0.003861291683484094,67,0.00067,-5.556753518455574,-7.308232845579262
4,1557,0.005059168352773535,84,0.00084,-5.286553166350261,-7.082108666126914
4,1557,0.006628658625087453,131,0.00131,-5.016352814244948,-6.6377281417690766
4,1557,0.008685047048070261,228,0.00228,-4.746152462139635,-6.083579836015788
4,1557,0.011379382540792526,331,0.00331,-4.4759521100343225,-5.710807089593166
4,1557,0.014909573464943445,480,0.0048,-4.20575175792901,-5.339139361068292
4,1557,0.019534924685910386,618,0.00618,-3.9355514058236976,-5.086437007512537
4,1557,0.025595184421705306,785,0.00785,-3.6653510537183847,-4.84724174718782
4,1557,0.033535499937381794,977,0.00977,-3.395150701613072,-4.628438812927445
4,1557,0.04393911516794628,1490,0.0149,-3.1249503495077597,-4.2063940660307235
4,1557,0.05757021202448125,2586,0.02586,-2.854749997402447,-3.655057905638426
4,1557,0.07543004222719395,3946,0.03946,-2.584549645297134,-3.232467778387668
4,1557,0.09883047274477239,7141,0.07141,-2.3143492931918215,-2.6393173634211182
4,1557,0.12949034700969375,10430,0.1043,-2.0441489410865086,-2.26048391697541
4,1557,0.16966173997764095,14764,0.14764,-1.7739485889811957,-1.9129784008203392
4,1557,0.2222953809065457,18948,0.18948,-1.5037482368758828,-1.6634718009265859
4,1557,0.291257394736718,24559,0.24559,-1.233547884770571,-1.4040918001504712
4,1557,0.3816132824841911,38268,0.38268,-0.9633475326652582,-0.9605561481721704
4,1557,0.5,51452,0.51452,-0.6931471805599453,-0.6645208517716223
5,1630,0.001,15,0.00015,-6.907755278982137,-8.804875263868018
5,1630,0.001310226931162212,21,0.00021,-6.637554926876824,-8.468403027246806
5,1630,0.0017166946111427477,32,0.00032,-6.367354574771512,-8.047189562170502
5,1630,0.0022492595121002693,42,0.00042,-6.097154222666199,-7.77525584668686
5,1630,0.00294704038792655,63,0.00063,-5.826953870560886,-7.369790738578696
5,1630,0.003861291683484094,75,0.00075,-5.556753518455574,-7.195437351433918
5,1630,0.005059168352773535,93,0.00093,-5.286553166350261,-6.980325971816972
5,1630,0.006628658625087453,124,0.00124,-5.016352814244948,-6.6926438993651916
5,1630,0.008685047048070261,166,0.00166,-4.746152462139635,-6.400937676613685
5,1630,0.011379382540792526,218,0.00218,-4.4759521100343225,-6.12843040218114
5,1630,0.014909573464943445,292,0.00292,-4.20575175792901,-5.836171662701947
5,1630,0.019534924685910386,384,0.00384,-3.9355514058236976,-5.562282912382502
5,1630,0.025595184421705306,493,0.00493,-3.6653510537183847,-5.312416290927538
5,1630,0.033535499937381794,646,0.00646,-3.395150701613072,-5.042125961187627
5,1630,0.04393911516794628,987,0.00987,-3.1249503495077597,-4.618255425536747
5,1630,0.05757021202448125,1448,0.01448,-2.854749997402447,-4.234986892024566
5,1630,0.07543004222719395,1980,0.0198,-2.584549645297134,-3.9220733412816475
5,1630,0.09883047274477239,2613,0.02613,-2.3143492931918215,-3.6446711994496157
5,1630,0.12949034700969375,3553,0.03553,-2.0441489410865086,-3.3373778689492015
5,1630,0.16966173997764095,4723,0.04723,-1.7739485889811957,-3.0527259950741112
5,1630,0.2222953809065457,6831,0.06831,-1.5037482368758828,-2.683699110238379
5,1630,0.291257394736718,9798,0.09798,-1.233547884770571,-2.3229919027717085
5,1630,0.3816132824841911,13753,0.13753,-0.9633475326652582,-1.9839132038555205
5,1630,0.5,22825,0.22825,-0.6931471805599453,-1.4773137595070591
6,1650,0.001,13,0.00013,-6.907755278982137,-8.947976107508692
6,1650,0.001310226931162212,14,0.00014,-6.637554926876824,-8.87386813535497
6,1650,0.0017166946111427477,26,0.00026,-6.367354574771512,-8.254828926948747
